id,kel_jabatan_id,nama,status_aktif
96,A5EB03E23DCFF6A0E040640A040252AD,GURU BAHASA DAERAH,1
97,A5EB03E23DCFF6A0E040640A040252AD,GURU BAHASA DAN SASTRA INDONESIA,1
98,A5EB03E23DCFF6A0E040640A040252AD,GURU BAHASA INDONESIA,1
99,A5EB03E23DCFF6A0E040640A040252AD,GURU BAHASA INGGRIS,1
100,A5EB03E23DCFF6A0E040640A040252AD,GURU BAHASA JAWA,1
101,A5EB03E23DCFF6A0E040640A040252AD,GURU BAHASA JEPANG,1
102,A5EB03E23DCFF6A0E040640A040252AD,GURU BAHASA JERMAN,1
103,A5EB03E23DCFF6A0E040640A040252AD,GURU BAHASA MANDARIN,1
104,A5EB03E23DCFF6A0E040640A040252AD,GURU BAHASA PERANCIS,1
105,A5EB03E23DCFF6A0E040640A040252AD,GURU BIMBINGAN KONSELING,1
106,A5EB03E23DCFF6A0E040640A040252AD,GURU BIOLOGI,1
107,A5EB03E23DCFF6A0E040640A040252AD,GURU BROADCASTING DAN PERFILMAN,1
108,A5EB03E23DCFF6A0E040640A040252AD,GURU BUSANA,1
109,A5EB03E23DCFF6A0E040640A040252AD,GURU DESAIN DAN PRODUKSI KRIYA,1
110,A5EB03E23DCFF6A0E040640A040252AD,GURU DESAIN KOMUNIKASI VISUAL,1
111,A5EB03E23DCFF6A0E040640A040252AD,GURU DESAIN PEMODELAN DAN INFORMASI BANGUNAN,1
112,A5EB03E23DCFF6A0E040640A040252AD,GURU DOGMA/MORAL,1
113,A5EB03E23DCFF6A0E040640A040252AD,GURU DOGMATIKA,1
114,A5EB03E23DCFF6A0E040640A040252AD,GURU DOKTRIN GEREJA KATOLIK,1
115,A5EB03E23DCFF6A0E040640A040252AD,GURU EKONOMI,1
116,A5EB03E23DCFF6A0E040640A040252AD,GURU ETIKA KRISTEN,1
117,A5EB03E23DCFF6A0E040640A040252AD,GURU FIQIH,1
118,A5EB03E23DCFF6A0E040640A040252AD,GURU FISIKA,1
119,A5EB03E23DCFF6A0E040640A040252AD,GURU GEOGRAFI,1
120,A5EB03E23DCFF6A0E040640A040252AD,GURU HERMENEUTIKA,1
121,A5EB03E23DCFF6A0E040640A040252AD,GURU ILMU PENGETAHUAN ALKITAB,1
122,A5EB03E23DCFF6A0E040640A040252AD,GURU ILMU TAFSIR,1
124,A5EB03E23DCFF6A0E040640A040252AD,GURU IPS,1
125,A5EB03E23DCFF6A0E040640A040252AD,GURU KECANTIKAN DAN SPA,1
126,A5EB03E23DCFF6A0E040640A040252AD,GURU KEHUTANAN,1
127,A5EB03E23DCFF6A0E040640A040252AD,GURU KELAS,1
128,A5EB03E23DCFF6A0E040640A040252AD,GURU KETERAMPILAN ELEKTRONIKA,1
129,A5EB03E23DCFF6A0E040640A040252AD,GURU KEWARGANEGARAAN,1
