id;tk_pendidikan_id;nama;status
F311F54BBB6DE6D5E050640AF1087726;35;D-IV PENDIDIKAN AGAMA HINDU/FILSAFAT AGAMA HINDU/HUKUM ADAT BALI/AGAMA HINDU;1
A5EB03E21BF3F6A0E040640A040252AD;45;S-2 AKTUARIA;0
A5EB03E2103BF6A0E040640A040252AD;40;S-1 KEHUTANAN;0
A5EB03E20F08F6A0E040640A040252AD;40;S-1 KEDOKTERAN HEWAN;0
8ae483c57dd5e9f3017ddb73e99b658b;45;S-2 SASTRA ACEH;
A5EB03E20E5DF6A0E040640A040252AD;40;S-1 KOMUNIKASI;0
F311F54BBBB2E6D5E050640AF1087726;40;S-1 TEKNIK OTOMASI INDUSTRI;1
A5EB03E20E49F6A0E040640A040252AD;40;S-1 KESEJAHTERAAN SOSIAL;0
A5EB03E217EBF6A0E040640A040252AD;45;S-2 MASTER OF EDUCATION;0
A5EB03E21A75F6A0E040640A040252AD;45;#DELETE#;0
A5EB03E21B07F6A0E040640A040252AD;45;S-2 ILMU EKONOMI;0
A5EB03E21BAFF6A0E040640A040252AD;45;S-2 MAGISTER PENELITIAN DAN EVALUASI PENDIDIKAN;0
A5EB03E21BB5F6A0E040640A040252AD;45;S-2 TEKNIK INFORMATIKA;0
A5EB03E218B4F6A0E040640A040252AD;45;S-2 ADMINISTRASI PENDIDIKAN;0
A5EB03E218B6F6A0E040640A040252AD;45;S-2 MANAJEMEN SUMBER DAYA PANTAI;0
A5EB03E217A1F6A0E040640A040252AD;45;S-2 ADMINISTRASI PUBLIK;0
A5EB03E215E3F6A0E040640A040252AD;15;SKKA PENDIDIKAN ANAK;1
8ae483c57dd5e9f3017ddc0bc471266b;45;S-2 INTERIOR DESAIN;
A5EB03E217D5F6A0E040640A040252AD;45;S-2 MAGISTER ILMU ADMINISTRASI;0
A5EB03E217D7F6A0E040640A040252AD;45;S-2 ILMU PANGAN;0
A5EB03E21772F6A0E040640A040252AD;50;S-3/DOKTOR;0
A5EB03E21777F6A0E040640A040252AD;50;S-3 ILMU KEDOKTERAN;0
ff8080813204ed4f0132055a128d03d3;40;#DELETE#;0
8ae4828835a9e3150135c1bffb9e0a08;15;#DELETE#;0
8ae4829b367d076501368179c3db6e14;45;S-2/A-IV;0
ff808081397044670139711ab9d82cad;45;#DELETE#;0
ff8080813bdc5adc013bfa3070a35532;25;0070006;0
ff8080813c3deefb013c4622e1834759;35;#DELETE#;0
ff8080813ca3ba3e013ca85aa5ab6d9d;40;#DELETE#;0
A5EB03E2182FF6A0E040640A040252AD;45;S-2 TEKNOLOGI INDUSTRI PERTANIAN;0
8ae482875252a828015253e68caf2a06;45;S-2 PISIFOL;1
A5EB03E208AAF6A0E040640A040252AD;40;S-1 ADMINISTRASI PENDIDIKAN;0
A5EB03E21719F6A0E040640A040252AD;45;S-2 ADMINISTRASI NEGARA;0
A5EB03E21724F6A0E040640A040252AD;45;#DELETE#;0
A5EB03E21729F6A0E040640A040252AD;45;#DELETE#;0
A5EB03E2172AF6A0E040640A040252AD;45;#DELETE#;0
A5EB03E2172BF6A0E040640A040252AD;45;#DELETE#;0
A5EB03E2172CF6A0E040640A040252AD;45;#DELETE#;0
A5EB03E2172DF6A0E040640A040252AD;45;#DELETE#;0
A5EB03E2172EF6A0E040640A040252AD;45;#DELETE#;0
A5EB03E2172FF6A0E040640A040252AD;45;#DELETE#;0
A5EB03E2177EF6A0E040640A040252AD;50;S-3 ILMU KIMIA;0
A5EB03E21781F6A0E040640A040252AD;50;S-3 TEKNIK SIPIL;0
A5EB03E21784F6A0E040640A040252AD;50;S-3 TEKNIK MESIN;0
A5EB03E21302F6A0E040640A040252AD;45;S-2/PASCASARJANA;0
A5EB03E2142AF6A0E040640A040252AD;45;S-2 TEKNOLOGI KELAUTAN;0
ff80808134fabec701351e6e0ed94fa7;30;D-III KOMPUTERISASI AKUNTANSI;0
8ae4829635aa12a30135b353eb756503;40;S-1/A-IV;0
ff8080813c811a36013c83e343080d3b;45;#DELETE#;0
