id,nama,status
539,LSP P2 KEBUDAYAAN KEMENDIKBUD,1
540,LSP P2 MAARIF JATENG,1
541,LSP P2 PRODUKTIVITAS BBPP,1
542,LSP P2KPTK2 JAKARTA BARAT,1
543,LSP P2KPTK2 JAKARTA SELATAN,1
544,"LSP P3 EKONOMI, KEUANGAN DAN BISNIS ISLAM (EKBISI)",1
545,LSP P3 KLINING SERVIS DUTA INTERNASIONAL,1
546,LSP P3 TEKNOLOGI DIGITAL,1
547,LSP PAMA,1
548,LSP PAN BROTHERS,1
549,LSP PARIWISATA ANGING MAMMIRI,1
550,LSP PARIWISATA BALI INTERNASIONAL,1
551,LSP PARIWISATA BHATARA TUNAS PROFESIONAL,1
552,LSP PARIWISATA BINA KOMPETENSI,1
553,LSP PARIWISATA BUMI SEJAHTERA BANYUWANGI,1
554,LSP PARIWISATA BUNAKEN INDONESIA,1
555,LSP PARIWISATA CITRA INSAN,1
556,LSP PARIWISATA DAN KAPAL PESIAR JAKARTA,1
557,LSP PARIWISATA DIYAFA KENCANA INDONESIA,1
558,LSP PARIWISATA GLOBAL SPIRIT PERSADA,1
559,LSP PARIWISATA GUNADHARMA UTAMA,1
560,LSP PARIWISATA HOSPITALITI NASIONAL,1
561,LSP PARIWISATA INDO NUSA,1
562,LSP PARIWISATA INDONESIA,1
563,LSP PARIWISATA KOMODO FLORES,1
564,LSP PARIWISATA MAHAMU MANDIRI,1
565,LSP PARIWISATA MUTU PESONA INDONESIA,1
566,LSP PARIWISATA NASIONAL (PARNAS),1
567,LSP PARIWISATA NUSANTARA,1
568,LSP PARIWISATA PHURI NUSANTARA,1
569,LSP PARIWISATA SYARIAH INDONESIA,1
570,LSP PARIWISATA WIYATA NUSANTARA,1
571,LSP PASAR MODAL,1
572,LSP PASAR MODAL INDONESIA,1
573,LSP PD BERKAH BINTANG ABADI,1
574,LSP PD BINA BANGSA,1
575,LSP PD BINA MULIA,1
576,LSP PD CITRA INDONESIA,1
577,LSP PD PRISMA INDONESIA,1
578,LSP PEKERJA DOMESTIK BAKTI PERTIWI,1
579,LSP PEKERJA DOMESTIK KOMPETINDO,1
580,LSP PEKERJA DOMESTIK LINTAS BENUA,1
581,LSP PEKERJA DOMESTIK LUK PERDANA,1
582,LSP PEKERJA DOMESTIK TERAMPIL INDONESIA,1
583,LSP PEKERJA MIGRAN INDUSTRI KELAPA SAWIT,1
584,LSP PEKERJA MIGRAN INDUSTRI MANUFAKTUR,1
585,LSP PELABUHAN,1
586,LSP PELABUHAN INDONESIA,1
587,LSP PELAKU USAHA IKM PRESTASI,1
588,LSP PELATIH OLAHRAGA,1
589,LSP PELATIH SDM BANGUN NEGERI,1
590,LSP PELHINDO,1
591,LSP PEMBIAYAAN INDONESIA,1
592,LSP PENDIDIKAN DAN PEMBINAAN MANAJEMEN (PPM),1
593,LSP PENGADAAN INDONESIA,1
594,LSP PENGELOLAAN LINGKUNGAN INDONESIA (LSP LAGUNA),1
595,LSP PENGELOLAAN TATA LINGKUNGAN INDUSTRI INDONESIA (PETALINDO),1
596,LSP PENGENDALIAN PENCEMARAN LINGKUNGAN (LSP DAIMARU),1
597,LSP PENGOLAHAN KOPI,1
598,LSP PENJAMINAN,1
599,LSP PENTARA,1
600,LSP PENULIS DAN EDITOR PROFESIONAL,1
601,LSP PENYEHAT TRADISIONAL GUSMUS RAKSA JASAD,1
602,LSP PERASURANSIAN INDONESIA,1
603,LSP PERASURANSIAN SYARIAH,1
604,LSP PERDAGANGAN BERJANGKA KOMODITI,1
605,LSP PERDAGANGAN RITEL,1
606,LSP PERHAPI,1
607,LSP PERHUTANI,1
608,LSP PERIKLANAN INDONESIA,1
609,LSP PERKAPALAN,1
610,LSP PERKAPALAN NUSANTARA,1
611,LSP PERSEMENAN INDONESIA,1
612,LSP PERTAMBANGAN INDONESIA MANDIRI,1
613,LSP PERTAMBANGAN MINERAL BATUBARA DAN ENERGI,1
614,LSP PERTANI INDONESIA,1
615,LSP PERTANIAN KEMENTERIAN PERTANIAN,1
616,LSP PERTANIAN NASIONAL,1
617,LSP PERTANIAN NUSANTARA,1
618,LSP PHINISI,1
619,LSP POLIMEDIA,1
620,LSP POLITANI SAMARINDA,1
621,LSP POLITEKNIK AKA BOGOR,1
622,LSP POLITEKNIK AKAMIGAS PALEMBANG,1
623,LSP POLITEKNIK ATI MAKASSAR,1
624,LSP POLITEKNIK ATI PADANG,1
625,LSP POLITEKNIK ATMI SURAKARTA,1
626,LSP POLITEKNIK CALTEX RIAU,1
627,LSP POLITEKNIK LPP,1
628,LSP POLITEKNIK MANUFAKTUR BANDUNG,1
629,LSP POLITEKNIK NEGERI AMBON,1
630,LSP POLITEKNIK NEGERI BALI,1
631,LSP POLITEKNIK NEGERI BANJARMASIN,1
632,LSP POLITEKNIK NEGERI BANYUWANGI,1
633,LSP POLITEKNIK NEGERI BENGKALIS,1
634,LSP POLITEKNIK NEGERI INDRAMAYU,1
635,LSP POLITEKNIK NEGERI JAKARTA,1
636,LSP POLITEKNIK NEGERI MADIUN,1
637,LSP POLITEKNIK NEGERI MANADO,1
638,LSP POLITEKNIK NEGERI MEDAN,1
639,LSP POLITEKNIK NEGERI PADANG,1
640,LSP POLITEKNIK NEGERI PONTIANAK,1
641,LSP POLITEKNIK NEGERI SAMARINDA,1
642,LSP POLITEKNIK NEGERI TANAH LAUT,1
643,LSP POLITEKNIK NSC SURABAYA,1
644,LSP POLITEKNIK PARIWISATA MAKASSAR,1
645,LSP POLITEKNIK PENERBANGAN MEDAN,1
646,LSP POLITEKNIK POS INDONESIA,1
647,LSP POLITEKNIK PRATAMA MULIA,1
648,LSP POLITEKNIK SAHID,1
649,LSP POLITEKNIK STIA LAN BANDUNG,1
650,LSP POLITEKNIK STIA LAN MAKASSAR,1
651,LSP POLITEKNIK TEDC BANDUNG,1
652,LSP POLRI,1
653,LSP POLTEKPEL SURABAYA,1
654,LSP PPKPTKK JAKARTA TIMUR,1
655,LSP PPSDM MIGAS,1
656,LSP PRAMUWISATA INDONESIA (PRAMINDO),1
657,LSP PRO BRIN,1
658,LSP PRODUKTIVITAS,1
659,LSP PROFESIONAL MIGAS INDONESIA,1
660,LSP PSIKOLOGI INDONESIA,1
661,LSP PT PEGADAIAN,1
662,LSP PT PERTAMINA,1
663,LSP PUBLIK RELASI INDONESIA (D/H LSP PUBLIC RELATIONS INDONESIA),1
664,LSP PUBLIK RELATION NUSANTARA,1
665,LSP PUPUK KALTIM,1
666,LSP PUSAT PENDIDIKAN MAARIF JTM,1
667,LSP PUSDIKLAT KEKAYAAN NEGARA DAN PERIMBANGAN KEUANGAN,1
668,LSP PUSDIKLAT SDM LHK,1
669,LSP PUTRA PERKASA ABADI,1
670,LSP RAJAWALI HOSPITALITY NUSANTARA,1
671,LSP REAL ESTAT INDONESIA,1
672,LSP RITEL LUWES,1
673,LSP RPMM KATALIA,1
674,LSP SAINS DATA DAN KECERDASAN BUATAN INDONESIA,1
675,LSP SAKASAKTI,1
676,LSP SATPAM ABUJAPI,1
677,LSP SDM KONSTRUKSI INDONESIA,1
678,LSP SDM TIK,1
679,LSP SEKOLAH MENENGAH KEJURUAN SMTI PADANG,1
680,LSP SEKOLAH PERHOTELAN BALI,1
681,LSP SEKOLAH PERHOTELAN INTERNASIONAL,1
682,LSP SEKOLAH TINGGI PARIWISATA BOGOR,1
683,LSP SEKOLAH VOKASI UNDIP,1
684,LSP SEMEN INDONESIA GROUP ( LSP SIG ),1
685,LSP SERTIFIKASI KEAHLIAN BENDUNGAN BESAR INDONESIA (SKBBI),1
686,LSP SERTIFIKASI KONSTRUKSI TEKNIK IAKI,1
687,LSP SINERGI GLOBAL SERVIS,1
688,LSP SISTEM INFORMASI,1
689,LSP SKK MIGAS,1
690,LSP SMAK PADANG,1
691,LSP SMART HOSPITALITY SOLUTION,1
692,LSP SMK HASANAH PEKANBARU,1
693,LSP SMK 1 PANCASILA,1
694,LSP SMK 17 AGUSTUS 1945 CLURING,1
695,LSP SMK 2 PANCASILA JEMBER,1
696,LSP SMK 3 PERGURUAN CIKINI,1
697,LSP SMK 45 LEMBANG,1
698,LSP SMK AHMAD YANI PROBOLINGGO,1
699,LSP SMK AL HUDA KOTA KEDIRI,1
700,LSP SMK AL MUHADJIRIN 2,1
701,LSP SMK AL-AZHAR GRESIK,1
702,LSP SMK AL-HUDA SARIWANGI,1
703,LSP SMK AL-KAUTSAR KERTOSONO,1
704,LSP SMK AL-MUHTADIN,1
705,LSP SMK AL-WAFA,1
706,LSP SMK ANNISA BOGOR,1
707,LSP SMK AR-RAHMAH CIANJUR,1
708,LSP SMK AR-RIZQI BINA INSANI,1
709,LSP SMK ARRAHMAN DEPOK,1
710,LSP SMK AS-SHOFA,1
711,LSP SMK BANI MUSLIM PATI,1
712,LSP SMK BANI SALEH,1
713,LSP SMK BERLIAN NUSANTARA MAGETAN,1
714,LSP SMK BHAKTI KENCANA CIAMIS,1
715,LSP SMK BHAKTI MULIA PARE,1
716,LSP SMK BINA NUSA SLAWI,1
717,LSP SMK BINA PRESTASI,1
718,LSP SMK BINA TARUNA PURWAKARTA,1
719,LSP SMK BINAKARYA MANDIRI,1
720,LSP SMK BK SURAKARTA,1
721,LSP SMK BRANTAS KARANGKATES,1
722,LSP SMK BUNDA KANDUNG,1
723,LSP SMK CENGKARENG 1 JAKARTA,1
724,LSP SMK CERSA PASAMAN,1
725,LSP SMK CIJANGKAR,1
726,LSP SMK CIPTA KARYA PREMBUN,1
727,LSP SMK COKROAMINOTO 2 BANJARNEGARA,1
728,LSP SMK CYBER MEDIA,1
729,LSP SMK DAARUSSALAAM,1
730,LSP SMK DARUSSALAM KARANGPUCUNG,1
731,LSP SMK DAYA UTAMA KOTA BEKASI,1
732,LSP SMK DHARMA BAHARI SURABAYA,1
733,LSP SMK DINAMIKA PEMBANGUNAN 1 JAKARTA,1
734,LSP SMK DIPONEGORO LEBAKSIU,1
735,LSP SMK DIPONEGORO SIDOARJO,1
736,LSP SMK DR SUTOMO TEMANGGUNG,1
737,LSP SMK DR. SOETOMO SURABAYA,1
738,LSP SMK DWIJA BHAKTI 1 JOMBANG,1
739,LSP SMK EUNIKE,1
740,LSP SMK FADILAH,1
741,LSP SMK FARMASI SURABAYA,1
742,LSP SMK FARMASI TANGERANG 1,1
743,LSP SMK HKTI 2 PURWAREJA KLAMPOK,1
744,LSP SMK IPTEK JAKARTA,1
745,LSP SMK ISLAM 2 DURENAN,1
746,LSP SMK ISLAM AL HIKMAH,1
747,LSP SMK ISLAM ASSA'ADATUL ABADIYAH,1
748,LSP SMK ISLAM PB SOEDIRMAN 2 JAKARTA,1
749,LSP SMK ISLAMIYAH ADIWERNA,1
750,LSP SMK ISTEK TEGAL,1
751,LSP SMK IT NURUL QOLBI,1
752,LSP SMK KARTINI BATAM,1
753,LSP SMK KARYA BAHANA MANDIRI 1,1
754,LSP SMK KARYA BAHANA MANDIRI 2,1
755,LSP SMK KARYA GUNA BHAKTI 1 KOTA BEKASI,1
756,LSP SMK KARYA GUNA BHAKTI 2 KOTA BEKASI,1
757,LSP SMK KARYA NASIONAL KUNINGAN,1
758,LSP SMK KEMALA BHAYANGKARI 1 JAKARTA,1
759,LSP SMK KEMALA BHAYANGKARI DELOG,1
760,LSP SMK KESEHATAN ADITAPA MADIUN,1
761,LSP SMK KESEHATAN BHAKTI WIYATA KEDIRI,1
762,LSP SMK KESEHATAN BIM NGAWI,1
763,LSP SMK KORPRI MAJALENGKA,1
764,LSP SMK KRIAN 1 SIDOARJO,1
765,LSP SMK KRIDAWISATA BANDAR LAMPUNG,1
766,LSP SMK MA'ARIF 1 KROYA,1
767,LSP SMK MA'ARIF 1 WATES,1
768,LSP SMK MA'ARIF NU BENJENG,1
769,LSP SMK MA'ARIF NU BOBOTSARI PURBALINGGA,1
770,LSP SMK MA'ARIF NU TIRTO,1
771,LSP SMK MA'ARIF SUDIMORO PACITAN,1
772,LSP SMK MAMBAUL ULUM BATA BATA PAMEKASN,1
773,LSP SMK MANDALAHAYU,1
774,LSP SMK METLAND,1
775,LSP SMK MIGAS CEPU,1
776,LSP SMK MITRA SEHAT MANDIRI SIDOARJO,1
777,LSP SMK MUHAMMADIYAH 1 BLORA,1
778,LSP SMK MUHAMMADIYAH 1 CILEUNGSI,1
779,LSP SMK MUHAMMADIYAH 1 KEPANJEN,1
780,LSP SMK MUHAMMADIYAH 1 PADANG,1
781,LSP SMK MUHAMMADIYAH 1 PEKANBARU,1
782,LSP SMK MUHAMMADIYAH 1 PRINGSEWU,1
783,LSP SMK MUHAMMADIYAH 1 TEGAL,1
784,LSP SMK MUHAMMADIYAH 2 JATINOM,1
785,LSP SMK MUHAMMADIYAH 2 WURYANTORO,1
786,LSP SMK MUHAMMADIYAH 3 KLATEN UTARA,1
787,LSP SMK MUHAMMADIYAH 3 YOGYAKARTA,1
788,LSP SMK MUHAMMADIYAH BUNGORO,1
789,LSP SMK MUHAMMADIYAH KAJEN,1
790,LSP SMK MUHAMMADIYAH LEBAKSIU,1
791,LSP SMK MUHAMMADIYAH LUMAJANG,1
792,LSP SMK MUHAMMADIYAH MAJENANG,1
793,LSP SMK MUHAMMADIYAH PEKALONGAN,1
794,LSP SMK MUHAMMADIYAH PRAMBANAN,1
795,LSP SMK MUHAMMADIYAH SAMPANG CILACAP,1
796,LSP SMK MUTIARA BANGSA,1
797,LSP SMK N 1 BANYUDONO,1
798,LSP SMK N 1 DEPOK SLEMAN,1
799,LSP SMK N 1 GIRITONTRO,1
800,LSP SMK N 1 JAMBU,1
801,LSP SMK N 1 KEDAWUNG SRAGEN,1
802,LSP SMK N 1 KEPANJEN,1
803,LSP SMK N 1 MUNTOK,1
804,LSP SMK N 1 MUSUK,1
805,LSP SMK N 1 NGAWI,1
806,LSP SMK N 1 PEDAN KLATEN,1
807,LSP SMK N 1 PETARUKAN,1
808,LSP SMK N 1 PRACIMANTORO,1
809,LSP SMK N 1 SANGATTA UTARA,1
810,LSP SMK N 1 SINGARAJA,1
811,LSP SMK N 1 SLAHUNG,1
812,LSP SMK N 10 MALANG,1
813,LSP SMK N 19 JAKARTA,1
814,LSP SMK N 29 JAKARTA,1
815,LSP SMK N 3 KLATEN,1
816,LSP SMK N 3 PARIAMAN,1
817,LSP SMK N 3 TEGAL,1
818,LSP SMK N 4 KLATEN,1
819,LSP SMK N 4 PADANG,1
820,LSP SMK N 6 SAMARINDA,1
821,LSP SMK N 8 MALANG,1
822,LSP SMK N 8 PADANG,1
823,LSP SMK N 9 BANDUNG,1
824,LSP SMK N 9 PADANG,1
825,LSP SMK NASIONAL BERBAH YOGYAKARTA,1
826,LSP SMK NASIONAL DEPOK,1
827,LSP SMK NAWA BHAKTI KEBUMEN,1
828,LSP SMK NEGERI 2 JEMBER,1
829,LSP SMK NEGERI 2 PALEMBANG,1
830,LSP SMK NEGERI 1 ABANG,1
831,LSP SMK NEGERI 1 AMUNTAI,1
832,LSP SMK NEGERI 1 BAGOR,1
833,LSP SMK NEGERI 1 BANDAR LAMPUNG,1
834,LSP SMK NEGERI 1 BANJARBARU,1
835,LSP SMK NEGERI 1 BANYUMAS,1
836,LSP SMK NEGERI 1 BATIPUH,1
837,LSP SMK NEGERI 1 BAWANG,1
838,LSP SMK NEGERI 1 BUKITTINGGI,1
839,LSP SMK NEGERI 1 BUSUNGBIU,1
840,LSP SMK NEGERI 1 CEPU,1
841,LSP SMK NEGERI 1 CILIMUS,1
842,LSP SMK NEGERI 1 DENPASAR,1
843,LSP SMK NEGERI 1 DUDUKSAMPEYAN GRESIK,1
844,LSP SMK NEGERI 1 GRATI PASURUAN,1
845,LSP SMK NEGERI 1 JAKARTA,1
846,LSP SMK NEGERI 1 KADEMANGAN,1
847,LSP SMK NEGERI 1 KAYUAGUNG,1
848,LSP SMK NEGERI 1 KUDUS,1
849,LSP SMK NEGERI 1 KUPANG,1
850,LSP SMK NEGERI 1 KUTASARI,1
851,LSP SMK NEGERI 1 MAGELANG,1
852,LSP SMK NEGERI 1 MANGGIS,1
853,LSP SMK NEGERI 1 MINAS,1
854,LSP SMK NEGERI 1 MUNDU CIREBON,1
855,LSP SMK NEGERI 1 NGLEGOK,1
856,LSP SMK NEGERI 1 POGALAN,1
857,LSP SMK NEGERI 1 SEMARANG,1
858,LSP SMK NEGERI 1 SIJUNJUNG,1
859,LSP SMK NEGERI 1 TABANAN BALI,1
860,LSP SMK NEGERI 1 TALAGA,1
861,LSP SMK NEGERI 1 TARAKAN,1
862,LSP SMK NEGERI 1 TEMBILAHAN,1
863,LSP SMK NEGERI 1 TEMPEL,1
864,LSP SMK NEGERI 1 TRUCUK KLATEN,1
865,LSP SMK NEGERI 1 UDANAWU,1
866,LSP SMK NEGERI 2 ADIWERNA,1
867,LSP SMK NEGERI 2 BLITAR,1
868,LSP SMK NEGERI 2 INDRAMAYU,1
869,LSP SMK NEGERI 2 LUMAJANG,1
870,LSP SMK NEGERI 2 PURBALINGGA,1
871,LSP SMK NEGERI 2 PURWODADI,1
872,LSP SMK NEGERI 2 SUMEDANG,1
873,LSP SMK NEGERI 3 BANDUNG,1
874,LSP SMK NEGERI 3 BOJONEGORO,1
875,LSP SMK NEGERI 3 JOMBANG,1
876,LSP SMK NEGERI 3 KEDIRI,1
877,LSP SMK NEGERI 3 LHOKSEUMAWE,1
878,LSP SMK NEGERI 3 SURAKARTA,1
879,LSP SMK NEGERI 3 TANJUNGPINANG,1
880,LSP SMK NEGERI 36 JAKARTA,1
881,LSP SMK NEGERI 4 JAKARTA,1
882,LSP SMK NEGERI 4 MADIUN,1
883,LSP SMK NEGERI 4 PEKANBARU,1
884,LSP SMK NEGERI 4 SIJUNJUNG,1
885,LSP SMK NEGERI 4 TANJUNGPINANG,1
886,LSP SMK NEGERI 4 TASIKMALAYA,1
887,LSP SMK NEGERI 5 BANDUNG,1
888,LSP SMK NEGERI 5 KOTA BEKASI,1
889,LSP SMK NEGERI 5 MANADO,1
890,LSP SMK NEGERI 5 SEMARANG,1
891,LSP SMK NEGERI 50 JAKARTA,1
892,LSP SMK NEGERI 55 JAKARTA,1
893,LSP SMK NEGERI 6 BANDUNG,1
894,LSP SMK NEGERI 7 BANDAR LAMPUNG,1
895,LSP SMK NEGERI 7 PONTIANAK,1
896,LSP SMK NEGERI KARANGPUCUNG,1
897,LSP SMK NEGERI MATESIH,1
898,LSP SMK NEGERI PUSPO,1
899,LSP SMK NEGERI TUTUR,1
900,LSP SMK NU 1 KARANGGENENG LAMONGAN,1
901,LSP SMK NU 1 SLAWI,1
902,LSP SMK NU HASYIM ASY'ARI TARUB TEGAL,1
903,LSP SMK NU MAARIF KUDUS,1
904,LSP SMK NU UNGARAN,1
905,LSP SMK NURIS JEMBER,1
906,LSP SMK NURUL ISLAM CIANJUR,1
907,LSP SMK NURUL ISLAM LARANGAN,1
908,LSP SMK OTOMINDO,1
909,LSP SMK PANCA BHAKTI BANJARNEGARA,1
910,LSP SMK PANCA BHAKTI RAKIT,1
911,LSP SMK PANCASILA 3 BATURETNO,1
912,LSP SMK PANDAWA BUDI LUHUR,1
913,LSP SMK PARAMITHA,1
914,LSP SMK PARIWISATA TRIATMA JAYA BADUNG,1
915,LSP SMK PASUNDAN 3 KOTA CIMAHI,1
916,LSP SMK PELAYARAN KRISTEN TUBAN,1
917,LSP SMK PELAYARAN NIAGA PURNA BAHARI,1
918,LSP SMK PEMBANGUNAN BAGAN BATU,1
919,LSP SMK PEMBANGUNAN JAYA,1
920,LSP SMK PEMBANGUNAN NASIONAL PURWODADI,1
921,LSP SMK PENERBANGAN CAKRA NUSANTARA,1
922,LSP SMK PERGURUAN CIKINI,1
923,LSP SMK PERIKANAN DAN KELAUTAN PUGER,1
924,LSP SMK PERSATUAN 2 TULANGAN,1
925,LSP SMK PGRI 1 NGANJUK,1
926,LSP SMK PGRI 1 NGAWI,1
927,LSP SMK PGRI 1 TAMAN,1
928,LSP SMK PGRI 2 BADUNG,1
929,LSP SMK PGRI 2 LAHAT,1
930,LSP SMK PGRI 2 PALEMBANG,1
931,LSP SMK PGRI 20 JAKARTA,1
932,LSP SMK PGRI 3 TANGGUL,1
933,LSP SMK PGRI 35 JAKARTA,1
934,LSP SMK PGRI 5 JEMBER,1
935,LSP SMK PGRI JATIBARANG,1
936,LSP SMK PGRI WLINGI,1
937,LSP SMK PLUS AL-HASANAH,1
938,LSP SMK PLUS YSB SURYALAYA,1
939,LSP SMK PP NEGERI SAREE,1
940,LSP SMK PU NEGERI BANDUNG,1
941,LSP SMK SAHID SURAKARTA,1
942,LSP SMK SANDIKTA,1
943,LSP SMK SARI FARMA,1
944,LSP SMK SASMITA JAYA,1
945,LSP SMK SATRIA BHAKTI NGANJUK,1
946,LSP SMK SATRIA NUSANTARA BETUNG,1
947,LSP SMK SATYAPRAJA 2 PETARUKAN,1
948,LSP SMK SEJAHTERA JAKARTA,1
949,LSP SMK SEKESAL SURABAYA,1
950,LSP SMK SEMEN GRESIK,1
951,LSP SMK SENTOSA DHARMA,1
952,LSP SMK SEPULUH NOPEMBER SIDOARJO,1
953,LSP SMK SETIA NEGARA,1
954,LSP SMK SMTI BANDAR LAMPUNG,1
955,LSP SMK SMTI PONTIANAK,1
956,LSP SMK SORE TULUNGAGUNG,1
957,LSP SMK SUNAN DRAJAT LAMONGAN,1
958,LSP SMK SWADAYA TEMANGGUNG,1
959,LSP SMK SYEKH ABDUL QODIR AL JAILANI,1
960,LSP SMK TAMAN KARYA MADYA PERTAMBANGAN KEBUMEN,1
961,LSP SMK TAMAN KARYA MADYA TEKNIK KEBUMEN,1
962,LSP SMK TEKNOLOGI BALUNG,1
963,LSP SMK TELKOM SANDHY PUTRA PURWOKERTO,1
964,LSP SMK TKM TEKNIK PURWOREJO,1
965,LSP SMK TUNAS HARAPAN,1
966,LSP SMK TUNAS HARAPAN PATI,1
967,LSP SMK TUNGGAL CIPTA KLATEN,1
968,LSP SMK TUREN,1
969,LSP SMK UTAMA BAKTI PALEMBANG,1
970,LSP SMK WACHID HASYIM SURABAYA,1
971,LSP SMK WALANG JAYA,1
972,LSP SMK WALISONGO 2 GEMPOL,1
973,LSP SMK WIRASABA KARAWANG,1
974,LSP SMK WISUDHA KARYA KUDUS,1
975,LSP SMK WIYATA HUSADA,1
976,LSP SMK WONGSOREJO GOMBONG,1
977,LSP SMK YADIKA 13,1
978,LSP SMK YAPIMDA,1
979,LSP SMK YASMIDA,1
980,LSP SMK YATPI GODONG,1
981,LSP SMK YMIK JAKARTA,1
982,LSP SMK YP FATAHILLAH 1 KRAMATWATU,1
983,LSP SMK YP GAJAH MADA PALEMBANG,1
984,LSP SMK YP IPPI PETOJO,1
985,LSP SMK YPE KROYA,1
986,LSP SMK YPE SAMPANG,1
987,LSP SMK YPE SAWUNGGALIH KUTOARJO,1
988,LSP SMK YPI DARUSSALAM 1 CERME,1
989,LSP SMK YPM 2 TAMAN,1
990,LSP SMK YPM 4 TAMAN SIDOARJO,1
991,LSP SMK YPM 5 SUKODONO,1
992,LSP SMK YPM 8 SIDOARJO,1
993,LSP SMK YPT TEGAL,1
994,LSP SMKN 1 ADIWERNA,1
995,LSP SMKN 1 AMBAL,1
996,LSP SMKN 1 AMPEK ANGKEK,1
997,LSP SMKN 1 ANJATAN,1
998,LSP SMKN 1 BALIKPAPAN,1
999,LSP SMKN 1 BANCAK,1
1000,LSP SMKN 1 BANDA ACEH,1
1001,LSP SMKN 1 BANGKINANG,1
1002,LSP SMKN 1 BANJARMASIN,1
1003,LSP SMKN 1 BANJIT,1
1004,LSP SMKN 1 BANTUL,1
1005,LSP SMKN 1 BASO,1
1006,LSP SMKN 1 BATEALIT,1
1007,LSP SMKN 1 BATU,1
1008,LSP SMKN 1 BAURENO,1
1009,LSP SMKN 1 BELITANG III,1
1010,LSP SMKN 1 BENGKULU,1
1011,LSP SMKN 1 BERINGIN,1
1012,LSP SMKN 1 BINJAI,1
1013,LSP SMKN 1 BINTAN TIMUR KEPULAUAN RIAU,1
1014,LSP SMKN 1 BLITAR,1
1015,LSP SMKN 1 BOGOR,1
1016,LSP SMKN 1 BOJONG PURWAKARTA,1
1017,LSP SMKN 1 BONJOL,1
1018,LSP SMKN 1 BONTANG,1
1019,LSP SMKN 1 BOYOLANGU,1
1020,LSP SMKN 1 BUMIJAWA,1
1021,LSP SMKN 1 BUNTOK,1
1022,LSP SMKN 1 CIAMIS,1
1023,LSP SMKN 1 CIBINONG,1
1024,LSP SMKN 1 CIKARANG BARAT,1
1025,LSP SMKN 1 CILEGON,1
1026,LSP SMKN 1 CIPANAS,1
1027,LSP SMKN 1 DEPOK,1
1028,LSP SMKN 1 DUKUHTURI,1
1029,LSP SMKN 1 ENAM LINGKUNG,1
1030,LSP SMKN 1 GANTIWARNO,1
1031,LSP SMKN 1 GARUT,1
1032,LSP SMKN 1 GEGER,1
1033,LSP SMKN 1 GELUMBANG,1
1034,LSP SMKN 1 GOMBONG,1
1035,LSP SMKN 1 GORONTALO,1
1036,LSP SMKN 1 IDI,1
1037,LSP SMKN 1 INDRALAYA SELATAN,1
1038,LSP SMKN 1 INDRAMAYU,1
1039,LSP SMKN 1 JAMBLANG,1
1040,LSP SMKN 1 JATIROTO,1
1041,LSP SMKN 1 JENANGAN PONOROGO,1
1042,LSP SMKN 1 JETIS,1
1043,LSP SMKN 1 JOGONALAN,1
1044,LSP SMKN 1 KALASAN,1
1045,LSP SMKN 1 KALIANGET,1
1046,LSP SMKN 1 KALINYAMATAN,1
1047,LSP SMKN 1 KANDEMAN,1
1048,LSP SMKN 1 KARANGANYAR KEBUMEN,1
1049,LSP SMKN 1 KARAWANG,1
1050,LSP SMKN 1 KATAPANG,1
1051,LSP SMKN 1 KAWALI,1
1052,LSP SMKN 1 KAWUNGANTEN,1
1053,LSP SMKN 1 KEDUNG,1
1054,LSP SMKN 1 KENDAL,1
1055,LSP SMKN 1 KERUMUTAN,1
1056,LSP SMKN 1 KLATEN,1
1057,LSP SMKN 1 KOTA CIREBON,1
1058,LSP SMKN 1 KOTA JAMBI,1
1059,LSP SMKN 1 KOTA TAMBOLAKA,1
1060,LSP SMKN 1 KOTO XI TARUSAN,1
1061,LSP SMKN 1 KUTA SELATAN,1
1062,LSP SMKN 1 KUTALIMBARU,1
1063,LSP SMKN 1 LANGSA,1
1064,LSP SMKN 1 LEMBAH GUMANTI,1
1065,LSP SMKN 1 LEMPUING JAYA,1
1066,LSP SMKN 1 LEUWILIANG,1
1067,LSP SMKN 1 LHOKSEUMAWE,1
1068,LSP SMKN 1 LOSARANG,1
1069,LSP SMKN 1 LUBUK PAKAM,1
1070,LSP SMKN 1 LUBUKLINGGAU,1
1071,LSP SMKN 1 LUWUK,1
1072,LSP SMKN 1 MAJALAYA,1
1073,LSP SMKN 1 MAJENE,1
1074,LSP SMKN 1 MAMASA,1
1075,LSP SMKN 1 MANDIRAJA,1
1076,LSP SMKN 1 MARTAPURA,1
1077,LSP SMKN 1 MAS UBUD,1
1078,LSP SMKN 1 MESJID RAYA,1
1079,LSP SMKN 1 MIRI,1
1080,LSP SMKN 1 MOJOKERTO,1
1081,LSP SMKN 1 MONDOKAN,1
1082,LSP SMKN 1 MUARO JAMBI,1
1083,LSP SMKN 1 NGAWEN,1
1084,LSP SMKN 1 NGULING,1
1085,LSP SMKN 1 NUNUKAN,1
1086,LSP SMKN 1 OKU,1
1087,LSP SMKN 1 PAGELARAN,1
1088,LSP SMKN 1 PAKIS AJI JEPARA,1
1089,LSP SMKN 1 PALASAH,1
1090,LSP SMKN 1 PALEMBANG,1
1091,LSP SMKN 1 PANDAK,1
1092,LSP SMKN 1 PANGANDARAN,1
1093,LSP SMKN 1 PANGKEP,1
1094,LSP SMKN 1 PATROL,1
1095,LSP SMKN 1 PEKALONGAN,1
