"eselon_id","eselon","nama_eselon"
"11","I.a","PIMPINAN TINGGI MADYA"
"12","I.b","PIMPINAN TINGGI MADYA"
"21","II.a","PIMPINAN TINGGI PRATAMA"
"22","II.b","PIMPINAN TINGGI PRATAMA"
"31","III.a","ADMINISTRATOR"
"32","III.b","ADMINISTRATOR"
"41","IV.a","PENGAWAS"
"42","IV.b","PENGAWAS"
"51","V.a","JABATAN PELAKSANA"
"52","V.b","JABATAN PELAKSANA"
